Question,Answer
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY CHANCE OF LIGHT RAIN FALL TODAY.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLoudy AND NO CHANCES OF RAINFALL TODAY.AND TOMORROW THERE ARE SOME CHANCES OF RAINFALL
INFORMATION REGARDING WEATHER ?,WEATHER IS CLoudy AND NO CHANCES OF RAINFALL TODAY.AND TOMORROW THERE ARE SOME CHANCES OF RAINFALL
INFORMATION REGARDING WEATHER FORCASTING,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
"INFORMATION REGARDING WEATHER CONDITION?
 
 .",WEATHER IS CLOUDY AND SOME CHANCE OF LIGHT RAINFALL TODAY
information regarding the control of fungus in barseem ?,spray carbendazim @ 200gm mix in 200 liters of water / acre .
CATERPILLAR IN TINDA?,CATERPILLAR IN TINDA: SPRAY CYPERMETHRIN 2 ML PER LITRE WATER
INFORMATION REGARDING WEATHER?,SUNNY AND CLOUDY WEATHER PREVAILS TODAY.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCE OF LIGHT RAINFALL .
INFORMATION REGARDING WEATHER ?,CHANCE OF A MEDIUM RAINFALL TODAY AND NEXT DAY.
blight in gram?,blight in gram: spray indofil m-45 3 gram per litre water
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
INFORMATION REGARDING WEATHER?,rainfall is expected on tomorrow.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
Information regarding how to control Flag Smut in wheat?,Spray 2 gm. Carbendazim 50WP in per lt. of water.
INFORMATION REGARDING WEATHER?,CHANCE OF A LITTLE RAINFALL TODAY.
INFORMATION REGARDING WEATHER?,rainfall is expected on tomorrow.
INFORMATION REGARDING WEATHER ?,SOME CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCE OF LIGHT RAINFALL .
INFORMATION REGARDING WEATHER?,rainfall is expected on tomorrow.
INFORMATION REGARDING WEATHER ?,THERE ARE SOME CHANCES OF RAINFALL TODAY
Information regarding weather of Amritsar?,Mostly cloudy and chances of light rainfall.
INFORMATION REGARDING WEATHER ?,SOME CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 200ML TILT /ACRE IN 200LITRE WATER. ???? @ ??? ???????? ??? ?? ??? ???? ???? ??? ????? ??????? ???? ."
INFORMATION REGARDING WEATHER ?,WEATHER IS CLEAR AND NO CHANCES RAINFALL .
INFORMATION REGARDING WEATHER ?,THERE ARE SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 200ML TILT /ACRE IN 200LITRE WATER. ???? @ ??? ???????? ??? ?? ??? ???? ???? ??? ????? ??????? ???? ."
INFORMATION REGRDING THE CONTROL OF RED SPIDER MITE IN BHINDI ?,CONTROL OF RED SPIDER MITE IN BHINDI SPRAY 250ML METASYSTOX IN 100 LTR WATER .
INFORMATION REGARDING OF WEATHER'?,WEATHER IS CLOUDY SOME CHANCE OF RAINFALL.
INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN WHEAT CROP?,FOR THE CONTROL OF APHIDS SPRAY 40 ML CONFIDOR/ACRE IN 100LITRE WATER.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
Information regarding how to control Stem Rot in Barseem?,Spray 2 gm. Carbendazim 50WP in per lt. of water.
INFORMATION REGARDING WEATHER?,WEATHER IS CLEAR NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER?,rainfall is expected on tomorrow.
INFORMATION REGARDING WEATHER?,WEATHER IS CLEAR NO CHANCES OF RAINFALL TODAY
Information regarding how to control Tobacco Caterpillar in Moong?,Spray 200 ml. Indoxacarb 14.5 SC in 100 lt. of water per acre.
INFORMATION REGARDING CONTROL SUNDI IN BARSEEM ?,"SPRAY 200ML, AWANT OR 50ML CORAGAN IN 150 LTR OF WATER PER ACRE ."
Information regarding how to control Karnal Bunt in Wheat?,Spray 200 ml. Tilt 25EC in 200 lt. of water per acre.
INFORMATION REGARDING WEATHER?,rainfall is expected on tomorrow.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCE OF LIGHT RAINFALL .
INFORMATION REGARDING WEATHER CONDITION?,WEATHER IS CLEAR some CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER?,rainfall is expected on tomorrow.
QueryText,"FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 200ML TILT/ACRE IN 200LITRE WATER."
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,WEATHER IS CLEAR & NO CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING TO CONTROL OF PHALARIS MINOR IN CHILLI ?,WEATHER IS CLOUDY 9mm CHANCES OF RAINFALL TODAY.
control of worm in bhindi?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,WEATHER IS CLOUDY 11mm CHANCES OF RAINFALL TODAY.
seed rate of moong?,WEATHER IS CLOUDY BUT SOME CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,CHANCE OF A LITTLE RAINFALL TODAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,CHANCE OF A LITTLE RAINFALL TODAY.
asking about weather forcasting?,"FOR THE CONTROL OF YELLOW,BROWN LEAF RUST IN WHEAT CROP,SPRAY PROPICONAZOLE 25% EC(TILT)-200ML OR TRIADIMEFON 25% WP(BAYLETON)-200GM OR TEBUCONAZOLE 25%EC(FOLICUR)-200ML IN 200LITRE WATER PER ACRE."
HOW TO CONTROL YELLOW RUST IN WHEAT?,WEATHER IS CLOUDY AND SOME CHANCE OF RAINFALL TODAY.
varieties of bhindi?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,SOME CHANCE OF RAINFALL TODAY.
Flower Problem In grep plant?,rainfall is expected on today.
Pest in wheat crop,CHANCE OF RAINFALL AND WEATHER IS CLOUDY TO DAY.
new varieties of paddy?,WEATHER IS CLOUDY BUT SOME CHANCES OF RAINFALL TODAY .
weather news of amritser,some clouds and some chances of rainfall .
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
information regarding to suitable varieties of mungbean,rainfall is expected on today.
information regarding to weather in amritsar dist.,WEATHER IS CLEAR & NO CHANCES OF RAINFALL TODAY.
information regarding to seed rate of sorghum,WEATHER IS CLEAR & NO CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
information regarding to control of maize borer in sorghum,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,CHANCE OF A LITTLE RAINFALL TODAY.
information regarding to control of jassid in chilli,WHEATHER IS CLOUDY AND CHANCE OF RAINFALL.
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,some clouds and some chances of rainfall .
weather of amritsar ?,WEATHER IS CLOUDY 11mm CHANCES OF RAINFALL TODAY.
INFO REGARDING PROCESSED PRODUCTS OF ROSE?,WEATHER IS CLOUDY 11mm CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,some clouds and some chances of rainfall .
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,some clouds and some chances of rainfall .
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN OKRA(BHINDI) CROP?,WEATHER IS CLOUDY 11mm CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF[SPRING SUMMER] BHINDI?,CHANCE OF RAINFALL AND WEATHER IS CLOUDY TO DAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SQUASH MELON(TINDA)?,CHANCE OF RAINFALL AND WEATHER IS CLOUDY TO DAY.
WEATHER IN AMRITSAR?,some clouds and some chances of rainfall .
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
problem of wilting in bettel gourd?,CHANCE OF RAINFALL AND WEATHER IS CLOUDY TO DAY.
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF CHILLI ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
information regarding to varieties of sorghum,some clouds and chances of light rainfall.
information regarding seedpr-121?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
weather of amritsar,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
PROBLEM OF CATERPILLAR IN BITTER GOURD?,WEATHER REMAIN CLOUDY TODAY.
INFORMATION REGARDING LOAN IN GOAT?,WEATHER IS CLOUDY AND CHANCES OF LIGHT RAINFALL.
INFORMATION REGARDING THE CONTROL OF FLOWER DROPPING.?,"WEATHER REMAIN CLOUDY TODAY, CHANCE OF A LITTLE RAINFALL TODAY."
information regarding to control of red pumpkin beetle in pumpkin,WEATHER IS CLOUDY TODAY BUT SOME CHANCES OF RAINFALL TODAY.
information regarding varieties of paddy ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING CONTOL OF STEM ROT IN ONION?,RAINFALL IS EXPECTED ON TODAY THEREAFTER WEATHER REMAIN CLOUDY FOR 2-3 DAYS.
INFORMATION REGARDING SOWING TIME NURSARY OF MARIGOLD?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
information regarding to control of jassid in okra,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
new var. of paddy ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
# INFORMATION REGARDING TO CONTROL OF WEEDS IN THE BHINDI ?,SPRAY 200ML TILT OR FOLICUR IN 200LT WATER/ACRE.
weather newther of Amritsar,WEATHER IS CLOUDY AND CHANCES OF LIGHT RAINFALL.
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF[SPRING SUMMER] BHINDI?,"""WEATHER IS CLEAR AND NO CHANCES OF RAINFALL.
 
 """
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,"PUNJAB-8, PUNJAB-7 AND PUNJAB PADMINI."
information regarding weather condition?,NO CHANCE OF RAINFALL TODAY.
YELLOWING OF LEAVES OF GRAM?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
aphids problem in wheat crop?,WEATHER IS CLOUDY & NO CHANCES OF RAINFALL TODAY
information regarding to control of maize borer in maize,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
information regarding to control of jassid in chilli,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
information regarding to control of maize borer in maize,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
# INFORMATION REGARDING TO THE IRRIGATION IN THE CHILLI ?,"Varieties of Turmeric:- Punjab Haldi-1, Punajb Haldi-2."
WHAT IS THE AMOUNT OF UREA IN TINDA?,120 Days after sowing last irrigation apply in wheat.
information regarding to control of root rot in okra,"FOR THE CONTROL OF MELON APHIDS,CUCUMBER BEETLE & FLEA BEETLE IN CUCUMBER(KHEERA) CROP,PLS SPRAY-200GM METHOMYL 40%SL /ACRE IN 150LITRE WATER."
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
information regarding seed rate of summer moong?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
contact no of krishi vigyan kendra?,SOME CLOUDS AND NO CHANCES OF RAINFALL .
information regarding robbit market?,weather is clear and no chances of rainfall today
problem of stem rot in barseem?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-124 PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR POULTRY TRAINING?,weather is clear today
INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF CAPSICUM(SHIMLA MIRCH) SEEDLING TRANSPLANTING?,WEATHER CLOUDY AND NO CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING TO THE CONTROL OF APHID IN WHEAT.?,FOR THE FRUIT DROPPING IN CITRUS CROP PLS SPARY 1GM CARBENDAZIM(BAVISTIN) PER LITER WHATER.
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,WEATHER REMAIN CLEAR TODAY.
irrigation in wheat?,WEATHER REMAINS CLOUDY BUT SOME CHANCES OF RAINFALL TODAY .
WHETHER TO NEED IRRIGATE WHEAT 15 DAYS BEFORE HARVESTING?,WEATHER IS CLEAR NO CHANCE OF RAIN.
INFORMATION REGARDING THE POULTRY.?,NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER OF FEROZEPUR?,WEATHER IS CLOUDLY AND NO CHANCES OF RAIN FALL TODAY .
information regarding dairy?,weather is clear today
problem of white fly in peach?,APPLY BOREX POWDER @ 2 GM PER LITER WATER.
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN SUGARCANE CROP?,WEATHER CLOUDY AND NO CHANCES OF RAINFALL TODAY .
information regarding dose of urea in bhindi?,STEM BORER IN BARSEEM: SPRAY 50 ML CORAGEN OR 40 ML FAME IN 100 LITRES OF WATER PER ACRE
contact no.of animal husbandary officer?,USSD CODE *491*103#.
control of stem rot in barseam?,WEATHER IS CLEAR NO CHANCE OF RAIN.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,"FOR THE CONTROL OF TERMITE ,BRAODCAST 1 LITRE CHLORO AFTER MIXING IN 15 KG SAND BEFORE IRRIGATION."
fertilizers of tomato?,WEATHER IS CLEAR AND NO CHANCES OF RAIN .
INFORMATION REGARDING FOR THE SUITABLE SEED RATE OF PADDY(JHONA) PER ACRE?,CONTACT ON 0161 2414042 .
INFORMATION REGARDING CHANCES OF RAINFALL IN DIST?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY.
information regarding to control of root rot in chilli,"""WEATHER IS CLEAR AND NO CHANCES OF RAINFALL.
 
 """
INFORMATION REGARDING CONTROL OF APHIDS IN BRINJAL ?,WEATHER IS CLEAR NO CHANCES OF RAINFALL TODAY
information regarding to control of citrus psylla in citrus,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
INFORMATION REGARDING TO THE IRRIGATION IN THE WHEAT CROP ?,SPRAY CYPERMETHRIN @ 200ML MIX IN 100 LITERS OF WATER / ACRE .
INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN WHEAT CROP?,WEATHER IS CLOUDLY NO CHANCE OF RAIN FALL TODAY .
INFORMATION REGARDING TO THE CONTROL OF APHID IN WHEAT.?,NUMBER OF USSD IS *491*103#
WEATHER IN AMRITSAR?,today no chance of rain .
WEATHJER REPORT FOR AMRITSAR?,SPRE 800 ML EKALAX IN 100 LITER WATER / ACRE
problam of deflower in guava?,WEATHER IS CLEAR AND NO CHANCES RAINFALL .
"control of dropping flower in lemon?
 
 .",FOR USSD DIAL *491*103#.
WEATHER REPORT IN AMRITSAR?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
#: INFORMATION REGARDING IMPROVED VARIETIES OF MAIZE ?,spray 1ml planofix in 4 Ltr of water /plant .
# INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
WHETHER TO NEED TO IRRIGATE WHEAT CROP BEFORE15 DAYS OF HARVEST?,"FOR THE CONTROL OF DIAMOND BACK MOTH IN CAULIFLOWER CROP,SPRAY -250GM CARTAP HYDROCHLORIDE 50% SP OR 100ML INDOXCARB IN 100LITRE WATER/ACRE."
information regarding to the weather condition ?,WEATHER IS CLEAR NO CHANCE OF RAIN FALL TODAY .
WEED INFESTION IN SUGARCANE CROP,WEATHER IS CLEAR NO CHANCE OF RAIN FALL TODAY .
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-124,PR-123,PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,WEATHER IS DRY AND NO CHANCES OF RAINFALL TODAY
contactno. of pau ludhiana?,"WEATHER IS CLEAR AND NO CHANCES OF RAIN .
 
  ?? ?? ???? ??? ???? ?? ?? ??? ??? ?? ??????? ??? ???? ?? ."
INFORMATION REGARDING CONTROL OF APHID IN WHEAT?,Spray 300 ml. Rogor 30EC in 100 lt. of water per acre.
INFORMATION REGARDING FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON BLACK GRAM(MAH) CROP?,"THE SUITABLE VARIETIES OF BOTTLEGOURD(GHIYA KADDU) IS -PUNJAB KOMAL,PUNJAB ROUND,EARLY LONG,PSPL,PUSA NAILIN,HYBRID NO.-13 & PB.-14"
WHICH ARE THE NEW VARIETIES OF BASMATI?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
weather information.,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,weather is clear today.
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,"Contact no. of PAU, Ludhiana:- 0161-2401960."
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,"WEATHER IS CLOUDY BUT NO CHANCES OF RAINFALL TODAY .
 
 ???? ???????? ??? ????? ??? ??? ?? ???? ??? ??"
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
NEW VARIETIES OF PADDY RELEASED BY PAU LUDHIANA?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
information regarding to suitable varieties of mungbean,weather is clear today
information regarding jassid in bhindi ?,"THE SUITABLE VARIETIES OF GREEN GRAM(MOONGI)-IN MARCH-APRIL-MH-421,SML-832,SML-668 & IN JULY-PAU-911,ML-818,ML-613."
# INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,the planting time of guava is feb.-march and agst - sept .
# INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,TODAY THERE ARE NO CHANCES OF RAINFALL
information regarding to control of stem borer in sugarcane,WEATHER REMAINS CLEAR TODAY.
NFORMATION REGARDING TO irrigation IN THE SUMMER MOONG ?,No chance of rainfall is expected in next two days.
information regarding to control of weed in mungbean,TODAY THERE ARE NO CHANCES OF RAINFALL
asking about weather forcasting,"FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 200ML TILT /ACRE IN 200LITRE WATER. ???? @ ??? ???????? ??? ?? ??? ???? ???? ??? ????? ??????? ???? ."
how are weather today?,WEATHER IS CLEAR AND NO CHANCE OF RAINFALL IN NEXT WEEK.
information regarding to control of bihar hairy catterpiller,"FOR THE CONTROL OF ARMYWORM IN WHEAT CROP,SPRAY 400 ML QUINALPHOS 25% EC IN 100 LITRE OF WATER PER ACRE."
IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,spray of 3 g ziram in 1 liter of water
INFORMATION ABOUT PAU NUMBER?,WEATHER IS CLOUDY AND no CHANCES OF RAINFALL TONIGHT.
information regarding to control of jassid in pumpkin,"""WEATHER IS CLOUDY BUT NO CHANCES OF RAINFALL.
 
 """
information regarding to control of bihar hairy catterpiller,WEATHER REMAINS ALMOST CLOUDY TODAY.
IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,syper mathalin 60ml@100l of water
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,"FOR THE CONTROL OF FRUIT BORER IN TOMATO CROP,PLS SPRAY FAME 480(FLUBENDAMIDE480%SC)-30ML OR CORAGEN(CHLORANTRANILIPROLE 18.5% SC)-60ML IN 200LITRE WATER/ACRE."
information regarding to new varieties of rice,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL.
INFORMATION REGARDING DOSE OF UREA FOR GUAVA SIX YEAR PLANT?,WEATHER IS CLOUDLY NO CHANCE OF RAIN FALL TODAY .
INFORMATION REGARDING TO THE CONDITION OF WEATHER,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
TERMITS PROBLEMS IN SUGARCANE CROP,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
asking about weather forcasting,spray of 3 g ziram in 1 liter of water
CONTECT NO. OF PAU LUDHIANA,spray 200 ml rogor 30 ec in 100 liter of water per acre.
information regarding weather condition?,"FOR THE CONTROL OF YELLOW,BROWN LEAF RUST IN BARLEY(JAUN) CROP,SPRAY PROPICONAZOLE 25% EC(TILT)-200ML OR TRIADIMEFON 25% WP(BAYLETON)-200GM OR TEBUCONAZOLE 25%EC(FOLICUR)-200ML IN 200LITRE WATER PER ACRE."
control of termite in barseam?,some clouds and chances of light rainfall.
control of leaf catterpillar ?,"THE FERT. DOSE AT THE TIME OF SQUASH MELON(TINDA) SOWING IS-F.Y.M.-250Q.,DAP-40KG,MOP-35KG/ACRE."
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,"FOR THE CONTROL SUNDI OF BARSEEM,PLS SPRAY 50ML CORAGEN IN 120 LTR OF WATER /ACRE ."
information regarding weather ?,No chance of rainfall is expected in next two days.
contact no of deputy director dairy amritsar?,weather is clear and no chances of rainfall today
INFORMATION REGARDING TO THE SEED RATE OF[SPRING SEASON] MAIZ CROP ?,weather is clear and no chances of rainfall today
WEATHER IN AMRITSAR?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
WEATHER INFROAMTION?,NO CHANCE OF RAINFALL TODAY.
BARSEEM CATERPILLAR PROBLEM?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-124,PR-121,PR-122,PR-123,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING THE FOLIAR SPRAY OF ZnSo4 IN CITRUS.?,"THE SUITABLE VARIETIES OF SORGHUM(JWAR)-TWO CUT-SL-44,MULTI CUT-PUNJAB SUDAX CHARI-1,HYBRID PCH-106,HYBRID PCH-109,HYBRID CHARI-615."
INFORMATION REGARDING THE CONTROL OF FLOWER DROPPING.?,TODAY WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL IN NEXT TWO DAYS.
INFORMATION REGARDING FOR THE SOWING TIME OF BAJRA?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR -124(NEW VARIETY-2015) ,PR-123(NEW VARIETY-2014), PR-123,PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509, PUSA PUNJAB BASMATI-1121,PUNJAB BASMATI-3."
information regarding to weather?,"THE SUITABLE VARIETIES OF SORGHUM(JWAR)-TWO CUT-SL-44,MULTI CUT-PUNJAB SUDAX CHARI-1,HYBRID PCH-106,HYBRID PCH-109,HYBRID CHARI-615."
CONTECT NO. OF PAU LUDHIANA,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
information regading improved varieties of paddy.,NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE CONTROL OF LATE BLIGHT DISEASE IN TOMATO CROP?,Mostly sunny and no chance of rainfall.
WEATHER REPORT?,No chance of rainfall is expected in to days.
ASKINGH NEW VERITIES OF COTTON CROP?,WEATHER REMAINS CLEAR TODAY.
weather of amritsar ?,"FOR THE CONTROL OF JASSID ATTACK IN OKRA(BHINDI),PLEASE SPRAY ACETAMIPRIDE-100GM IN 150LITRE WATER/ACRE."
information regarding to new varieties of basmati rice,Spray 500 gm. M-45 in 200 lt. of water per acre.
INFORMATION REGARDING DOSE OF UREA IN TOMATO?,Mostly sunny and no chance of rainfall.
control of worm in bhindi?,No chance of rainfall is expected in to days.
fruit droping problem in citrus,WEATHER IS CLOUDLY CHANCE OF LIGHT RAIN FALL NEXT DAY .
asking about new verities of rice crop,weather is clear and no chances of rainfall today.
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,Mostly sunny and no chance of rainfall.
cont no of pau?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,FOR USSD SERVICE DIAL *491*103# .
information regarding to control of root rot in okra,WEATHER IS CLOUDLY CHANCE OF LIGHT RAIN FALL NEXT DAY .
INFORMATION REGARDING CHANCE OF RAINFALL TODAY ?,WEATHER REMAINS CLEAR TODAY.
information regarding to new varieties of rice,SPRAY 1 ML PLANOFIX MIX IN 4.5 LITER WATER /ACER .
FOR CONTROL PEST ATTACK ON WHEAT?,WEATHER IS DRY AND THERE IS NO CHANCES OF RAINFALL.
information regading improved varieties of paddy.,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TONIGHT.
control of stem borer?,WEATHER IS CLEAR NO CHANCES OF RAINFALL TODAY.
information regarding to seed of rice variety?,some clouds and some chances of light rainfall.
INFORMATION REGARDING FOR THE SOWING TIME OF BAJRA?,CHANCE OF A LITTLE RAINFALL TODAY.
INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?,WEATHER IS CLOUDY BUT NO CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING WEATHER OF AMRITSAR?,some clouds and chances of rainfall.
